popularity,original_title,runtime,vote_count,budget_adj,revenue_adj,prim_genre,second_genre,prim_actor,second_actor,prim_director,profit_adj,release_date,movie_duration,vote_adj
6.200282,Spectre,148,3254,225399900.824043,810220283.783075,Action,Adventure,Daniel Craig,Christoph Waltz,Sam Mendes,584820382.9590319,2015-10-26,long_movie,2.0613713231526085
6.189369,Jupiter Ascending,124,1937,161919931.51523,169268630.681802,Science Fiction,Fantasy,Mila Kunis,Channing Tatum,Lana Wachowski,7348699.166572005,2015-02-04,long_movie,1.0269960028697347
6.118847,Ex Machina,108,2854,13799993.9280026,33919845.9552677,Drama,Science Fiction,Domhnall Gleeson,Alicia Vikander,Alex Garland,20119852.027265098,2015-01-21,long_movie,2.215271087424413
5.984995,Pixels,105,1575,80959964.3776156,224146025.095748,Action,Comedy,Adam Sandler,Michelle Monaghan,Chris Columbus,143186060.7181324,2015-07-16,long_movie,0.9303064466536846
5.944927,Avengers: Age of Ultron,141,4304,257599886.656049,1292632336.88177,Action,Adventure,Robert Downey Jr.,Chris Hemsworth,Joss Whedon,1035032450.2257209,2015-04-22,long_movie,3.2566977554576204
5.8984,The Hateful Eight,167,2389,40479982.1888078,143299244.588332,Crime,Drama,Samuel L. Jackson,Kurt Russell,Quentin Tarantino,102819262.3995242,2015-12-25,long_movie,1.8043046018243312
5.749758,Taken 3,109,1578,44159980.5696085,299709578.207785,Crime,Action,Liam Neeson,Forest Whitaker,Olivier Megaton,255549597.6381765,2015-01-01,long_movie,0.9803013221277032
5.573184,Ant-Man,115,3779,119599947.376023,477113780.029936,Science Fiction,Action,Paul Rudd,Michael Douglas,Peyton Reed,357513832.653913,2015-07-14,long_movie,2.7040073793174133
5.556818,Cinderella,112,1495,87399961.5440169,498963025.216268,Romance,Fantasy,Lily James,Cate Blanchett,Kenneth Branagh,411563063.6722511,2015-03-12,long_movie,1.0349492671927847
5.476958,The Hunger Games: Mockingjay - Part 2,136,2380,147199935.232028,598481289.508232,War,Adventure,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,451281354.276204,2015-11-18,long_movie,1.578866454852926
5.462138,Tomorrowland,130,1899,174799923.088033,192312729.942398,Action,Family,Britt Robertson,George Clooney,Brad Bird,17512806.85436502,2015-05-19,long_movie,1.2003484677667315
5.337064,Southpaw,123,1386,27599987.8560053,84373003.7158783,Action,Drama,Jake Gyllenhaal,Rachel McAdams,Antoine Fuqua,56773015.859873,2015-06-15,long_movie,1.0294967715486316
4.907832,San Andreas,114,2060,101199955.472019,432851374.985395,Action,Drama,Dwayne Johnson,Alexandra Daddario,Brad Peyton,331651419.513376,2015-05-27,long_movie,1.2816439479348158
4.71040199999999,Fifty Shades of Grey,125,1865,36799983.8080071,524079119.045187,Drama,Romance,Dakota Johnson,Jamie Dornan,Sam Taylor-Johnson,487279135.2371799,2015-02-11,long_movie,1.0076355437122066
4.648046,The Big Short,130,1545,25759988.6656049,122678731.541358,Comedy,Drama,Christian Bale,Steve Carell,Adam McKay,96918742.87575309,2015-12-11,long_movie,1.1484575176796146
4.566713,Mission: Impossible - Rogue Nation,131,2349,137999939.280026,627743451.672881,Action,,Tom Cruise,Jeremy Renner,Christopher McQuarrie,489743512.39285505,2015-07-23,long_movie,1.7020498103925388
4.564549,Ted 2,115,1666,62559972.4736121,198594430.13845,Comedy,,Mark Wahlberg,Seth MacFarlane,Seth MacFarlane,136034457.6648379,2015-06-25,long_movie,1.0692630931638822
4.503789,Kingsman: The Secret Service,130,3833,74519967.2112144,371497801.660967,Crime,Comedy,Taron Egerton,Colin Firth,Matthew Vaughn,296977834.44975257,2015-01-24,long_movie,2.977841549656657
4.062293,Spotlight,128,1559,18399991.9040035,81278719.3973634,Drama,Thriller,Mark Ruffalo,Michael Keaton,Tom McCarthy,62878727.49335989,2015-11-06,long_movie,1.238310956236548
3.968891,Maze Runner: The Scorch Trials,132,1849,56119975.3072108,286356245.923251,Action,Science Fiction,Dylan O'Brien,Kaya Scodelario,Wes Ball,230236270.61604017,2015-09-09,long_movie,1.2062724198011685
3.927333,Mr. Holmes,103,425,0.0,27006774.877019,Mystery,Drama,Ian McKellen,Milo Parker,Bill Condon,27006774.877019,2015-06-19,long_movie,0.27221482012913806
3.899557,Chappie,120,1990,45079980.1648087,93903685.2423785,Crime,Action,Sharlto Copley,Dev Patel,Neill Blomkamp,48823705.077569805,2015-03-04,long_movie,1.3393461104847801
3.877764,Pitch Perfect 2,115,1264,26679988.2608051,264505582.097543,Comedy,Music,Anna Kendrick,Rebel Wilson,Elizabeth Banks,237825593.8367379,2015-05-07,long_movie,0.8739571589627958
3.64821,Bridge of Spies,141,1638,36799983.8080071,149601569.335309,Thriller,Drama,Tom Hanks,Mark Rylance,Steven Spielberg,112801585.52730191,2015-10-15,long_movie,1.1846674182638106
3.644541,Goosebumps,103,600,53359976.5216103,138157089.01088,Adventure,Horror,Jack Black,Dylan Minnette,Rob Letterman,84797112.4892697,2015-08-05,long_movie,0.37491032079532643
3.557846,Room,117,1520,5519997.57120106,32569603.0293746,Drama,Thriller,Brie Larson,Jacob Tremblay,Lenny Abrahamson,27049605.45817354,2015-10-16,long_movie,1.238085477093369
3.358321,Solace,101,474,0.0,20566197.1908732,Crime,Drama,Abbie Cornish,Jeffrey Dean Morgan,Afonso Poyart,20566197.1908732,2015-09-03,long_movie,0.2948447268627652
3.339135,The Good Dinosaur,93,1087,160999929.160031,305371920.876354,Adventure,Animation,Raymond Ochoa,Jack Bright,Peter Sohn,144371991.716323,2015-11-14,short_movie,0.7285231116121759
3.23737,Run All Night,114,814,45999979.7600089,65836683.5118592,Action,Crime,Liam Neeson,Ed Harris,Jaume Collet-Serra,19836703.7518503,2015-03-11,long_movie,0.5191349800143487
3.227329,Brooklyn,111,754,10119995.5472019,57110024.5915891,Drama,Romance,Saoirse Ronan,Domhnall Gleeson,John Crowley,46990029.0443872,2015-11-04,long_movie,0.5566465101978068
3.202719,Straight Outta Compton,147,918,25759988.6656049,185504110.098191,Drama,Music,O'Shea Jackson Jr.,Corey Hawkins,F. Gary Gray,159744121.4325861,2015-08-13,long_movie,0.7165727170236753
3.080505,The Last Witch Hunter,106,879,82799963.568016,129164861.167461,Fantasy,Action,Vin Diesel,Rose Leslie,Breck Eisner,46364897.599445,2015-10-21,long_movie,0.49875986471251404
3.079522,Steve Jobs,122,1035,27599987.8560053,31686509.2179359,History,Drama,Michael Fassbender,Kate Winslet,Danny Boyle,4086521.3619306013,2015-10-09,long_movie,0.7248642000614943
3.053421,The Man from U.N.C.L.E.,116,1548,68999969.6400133,99493456.5028791,Comedy,Action,Henry Cavill,Armie Hammer,Guy Ritchie,30493486.86286579,2015-08-13,long_movie,1.103412934303577
3.025852,The Age of Adaline,112,1221,22999989.8800044,39219376.6634742,Fantasy,Drama,Blake Lively,Michiel Huisman,Lee Toland Krieger,16219386.783469804,2015-04-16,long_movie,0.9060469406579892
3.023253,Hardcore Henry,97,396,9199995.95200178,13187080.9976843,Action,Adventure,Sharlto Copley,Haley Bennett,Ilya Naishuller,3987085.0456825197,2015-09-12,short_movie,0.2334119093983807
2.976436,Home,94,1060,124199945.352024,339361177.121082,Fantasy,Comedy,Jim Parsons,Rihanna,Tim Johnson,215161231.769058,2015-03-18,short_movie,0.7425438146971406
2.968254,Paper Towns,109,1252,11039995.1424021,78671281.3846362,Drama,Mystery,Nat Wolff,Cara Delevingne,Jake Schreier,67631286.2422341,2015-07-09,long_movie,0.7892179973352466
2.93234,Wild Card,92,481,27599987.8560053,0.0,Thriller,Crime,Jason Statham,Michael Angarano,Simon West,-27599987.8560053,2015-01-14,short_movie,0.2558470841447166
2.885126,The Lobster,118,638,3679998.38080071,8339346.45068756,Thriller,Comedy,Colin Farrell,Rachel Weisz,Yorgos Lanthimos,4659348.06988685,2015-10-08,long_movie,0.42480270574971807
2.883233,Carol,118,562,10855995.2233621,37050347.8978469,Romance,Drama,Cate Blanchett,Rooney Mara,Todd Haynes,26194352.6744848,2015-11-20,long_movie,0.4016808445218817
2.814802,The Intern,121,1255,32199985.8320062,178999419.480255,Comedy,,Robert De Niro,Anne Hathaway,Nancy Meyers,146799433.6482488,2015-09-24,long_movie,0.9059649482422876
2.798017,Everest,121,1172,50599977.7360098,187153294.93255,Adventure,Drama,Jason Clarke,Jake Gyllenhaal,Baltasar KormÃ¡kur,136553317.1965402,2015-09-10,long_movie,0.7979296915035359
2.793297,Joy,124,1001,55199975.7120106,93043293.3409509,Comedy,Drama,Jennifer Lawrence,Bradley Cooper,David O. Russell,37843317.62894031,2015-12-24,long_movie,0.6500358716818695
2.614499,Point Break,114,505,96599957.4960187,123021159.990689,Action,Crime,Edgar RamÃ­rez,Luke Bracey,Ericson Core,26421202.4946703,2015-12-03,long_movie,0.2790304396843292
2.584264,Burnt,100,631,18399991.9040035,33678188.7415969,Drama,,Bradley Cooper,Sienna Miller,John Wells,15278196.837593399,2015-10-02,long_movie,0.4009736599364559
2.578919,Self/less,116,719,23919989.4752046,28081355.5642035,Science Fiction,Mystery,Ryan Reynolds,Ben Kingsley,Tarsem Singh,4161366.0889989026,2015-07-10,long_movie,0.4505278261760787
2.575711,Mortdecai,106,696,55199975.7120106,27985062.8865723,Comedy,Adventure,Johnny Depp,Gwyneth Paltrow,David Koepp,-27214912.8254383,2015-01-21,long_movie,0.37263503125960845
2.557859,The Danish Girl,120,867,13799993.9280026,59056175.1752829,Drama,,Eddie Redmayne,Alicia Vikander,Tom Hooper,45256181.2472803,2015-11-27,long_movie,0.641190939838065
2.550747,Blackhat,133,584,64399971.6640124,16332697.613613,Mystery,Crime,Chris Hemsworth,Leehom Wang,Michael Mann,-48067274.0503994,2015-01-13,long_movie,0.294147791329302
2.487849,Sicario,121,1479,27599987.8560053,77303716.7063646,Action,Crime,Emily Blunt,Benicio del Toro,Denis Villeneuve,49703728.850359306,2015-09-17,long_movie,1.0689658706569642
2.487042,Fantastic Four,100,1565,110399952.34402,154539320.322699,Action,Adventure,Miles Teller,Kate Mara,Josh Trank,44139367.978679016,2015-08-05,long_movie,0.701240135287486
2.46449,The Witch,92,700,3219998.58320062,37190013.0363942,Mystery,Horror,Anya Taylor-Joy,Ralph Ineson,Robert Eggers,33970014.45319358,2015-03-24,short_movie,0.4101670595469919
2.404473,Spy,120,1840,59799973.6880115,216812826.082356,Action,Comedy,Melissa McCarthy,Jason Statham,Paul Feig,157012852.3943445,2015-05-06,long_movie,1.294147791329302
2.395366,Focus,105,1831,46091979.7195289,141645863.63582,Romance,Comedy,Will Smith,Margot Robbie,Glenn Ficarra,95553883.9162911,2015-02-25,long_movie,1.2504560828123399
2.354654,Hitman: Agent 47,96,820,32199985.8320062,75759810.1856835,Action,Crime,Rupert Friend,Zachary Quinto,Aleksander Bach,43559824.3536773,2015-08-20,short_movie,0.45659526493799324
2.345821,In the Heart of the Sea,122,805,91999959.5200178,86315059.3813738,Thriller,Drama,Chris Hemsworth,Benjamin Walker,Ron Howard,-5684900.13864401,2015-11-20,long_movie,0.5214717638618428
2.331636,Survivor,96,280,18399991.9040035,0.0,Crime,Thriller,Pierce Brosnan,Milla Jovovich,James McTeigue,-18399991.9040035,2015-05-21,short_movie,0.14943117761607053
2.331567,Creed,133,1171,32199985.8320062,126900665.803707,Drama,,Michael B. Jordan,Sylvester Stallone,Ryan Coogler,94700679.9717008,2015-11-25,long_movie,0.8686379009941579
2.31767,Trainwreck,125,849,32199985.8320062,129532072.565888,Comedy,,Amy Schumer,Bill Hader,Judd Apatow,97332086.7338818,2015-07-17,long_movie,0.5245362303986881
2.29573,Eye in the Sky,102,265,11959994.7376023,30220316.9030605,Drama,Thriller,Helen Mirren,Aaron Paul,Gavin Hood,18260322.165458202,2015-09-11,long_movie,0.18817259403505177
2.28135,Legend,131,619,22999989.8800044,39535137.0845396,Crime,Thriller,Tom Hardy,Emily Browning,Brian Helgeland,16535147.204535201,2015-09-09,long_movie,0.4181920672337809
2.272044,Beyond the Reach,95,81,0.0,42223.3814217121,Thriller,,Michael Douglas,Jeremy Irvine,Jean-Baptiste LÃ©onetti,42223.3814217121,2015-04-17,short_movie,0.040022547914317926
2.234573,Pan,111,586,137999939.280026,118117202.42843,Adventure,Family,Levi Miller,Garrett Hedlund,Joe Wright,-19882736.851595983,2015-09-24,long_movie,0.34830378190017425
2.165433,Mythica: The Darkspore,108,27,0.0,0.0,Action,Adventure,Melanie Stone,Kevin Sorbo,Anne K. Black,0.0,2015-06-24,long_movie,0.008885928051655221
2.141506,Me and Earl and the Dying Girl,105,569,0.0,0.0,Comedy,Drama,Thomas Mann,RJ Cyler,Alfonso Gomez-Rejon,0.0,2015-06-12,long_movie,0.4411499436302142
2.140199,The Peanuts Movie,88,414,91079959.9248176,226534364.284879,Adventure,Animation,Noah Schnapp,Bill Melendez,Steve Martino,135454404.3600614,2015-11-05,short_movie,0.2649994875474019
2.121884,Concussion,123,500,32199985.8320062,44733666.5571867,Drama,,Will Smith,Bitsie Tulloch,Peter Landesman,12533680.7251805,2015-11-12,long_movie,0.3465204468586656
2.096273,The Night Before,100,363,22999989.8800044,48204295.1101101,Comedy,,Joseph Gordon-Levitt,Seth Rogen,Jonathan Levine,25204305.230105698,2015-11-20,long_movie,0.22069283591267805
2.080935,Knock Knock,99,473,2299998.98800044,4796917.44935632,Drama,Horror,Keanu Reeves,Lorenza Izzo,Eli Roth,2496918.4613558804,2015-06-26,short_movie,0.22777493081889924
2.070708,The Longest Ride,128,711,31279986.236806,57972193.012235,Romance,Drama,Scott Eastwood,Britt Robertson,"George Tillman, Jr.",26692206.775429,2015-04-09,long_movie,0.5244747360869119
2.060162,Hotel Transylvania 2,89,919,73599967.6160142,428888671.768984,Animation,Comedy,Adam Sandler,Andy Samberg,Genndy Tartakovsky,355288704.15296984,2015-09-21,short_movie,0.6335143999180075
2.055572,Love the Coopers,107,111,15639993.118403,22079990.2848042,Family,Comedy,Steve Martin,Diane Keaton,Jessie Nelson,6439997.166401198,2015-11-12,long_movie,0.05486317515629804
2.049886,The Walk,123,706,32199985.8320062,56287361.8735607,Adventure,Drama,Joseph Gordon-Levitt,Ben Kingsley,Robert Zemeckis,24087376.041554496,2015-09-30,long_movie,0.48506713129035567
2.026651,Tracers,94,326,10119995.5472019,1714249.04573042,Action,Crime,Marie Avgeropoulos,Taylor Lautner,Daniel Benmayor,-8405746.50147148,2015-01-15,short_movie,0.1910833247924567
2.000338,Vacation,99,846,28519987.4512055,96033410.7052992,Adventure,Comedy,Ed Helms,Christina Applegate,John Francis Daley,67513423.2540937,2015-07-28,short_movie,0.5226606538895152
1.984529,Poltergeist,93,589,32199985.8320062,87802915.846717,Horror,Thriller,Sam Rockwell,Rosemarie DeWitt,Gil Kenan,55602930.0147108,2015-05-20,short_movie,0.2967100543199754
1.980039,Maggie,95,384,3679998.38080071,172142.964257095,Horror,,Arnold Schwarzenegger,Abigail Breslin,Henry Hobson,-3507855.416543615,2015-05-08,short_movie,0.19549041713641485
1.959765,Equals,101,135,0.0,1839999.19040035,Drama,Romance,Kristen Stewart,Nicholas Hoult,Drake Doremus,1839999.19040035,2015-09-04,long_movie,0.07174336373885415
1.95632,Child 44,137,341,45999979.7600089,3058382.2543118,Crime,Thriller,Tom Hardy,Gary Oldman,Daniel Espinosa,-42941597.5056971,2015-03-15,long_movie,0.2001537357794404
1.926739,The Gift,108,631,4599997.97600089,54260336.8854517,Thriller,Mystery,Jason Bateman,Rebecca Hall,Joel Edgerton,49660338.90945081,2015-07-30,long_movie,0.42006764374295374
1.904898,Daddy's Home,96,568,45999979.7600089,221131463.342156,Comedy,,Will Ferrell,Mark Wahlberg,Sean Anders,175131483.5821471,2015-12-25,short_movie,0.3259813467254279
1.876037,Mythica: The Necromancer,0,11,0.0,0.0,Fantasy,Action,Melanie Stone,Adam Johnson,A. Todd Smith,0.0,2015-12-19,short_movie,0.0005534488059854465
1.872696,Vice,96,181,9199995.95200178,0.0,Thriller,Science Fiction,Ambyr Childers,Thomas Jane,Brian A Miller,-9199995.95200178,2015-01-16,short_movie,0.07185610331044379
1.865007,The Little Prince,92,423,58879974.0928114,89765510.5031753,Adventure,Animation,Jeff Bridges,Rachel McAdams,Mark Osborne,30885536.410363905,2015-07-29,short_movie,0.31746438454442966
1.841779,Alvin and the Chipmunks: The Road Chip,92,278,0.0,215055014.135793,Adventure,Animation,Jason Lee,Justin Long,Walt Becker,215055014.135793,2015-12-17,short_movie,0.15656451778210514
1.82313,The Dressmaker,118,197,10975595.1707381,16872792.5759712,Drama,,Kate Winslet,Liam Hemsworth,Jocelyn Moorhouse,5897197.405233102,2015-10-01,long_movie,0.1322435174746336
1.758618,The DUFF,100,753,7819996.55920151,40046325.6596167,Romance,Comedy,Mae Whitman,Robbie Amell,Ari Sandel,32226329.100415193,2015-02-20,long_movie,0.5178231013631239
1.742286,Sinister 2,97,331,9199995.95200178,48651435.1533685,Horror,,Shannyn Sossamon,James Ransone,Ciaran Foy,39451439.20136672,2015-08-19,short_movie,0.18094701240135286
1.73518,Paul Blart: Mall Cop 2,94,422,27599987.8560053,98989419.0846556,Action,Adventure,Kevin James,Raini Rodriguez,Andy Fickman,71389431.2286503,2015-04-16,short_movie,0.2237982986573742
1.72471199999999,Frozen Fever,8,475,0.0,0.0,Adventure,Animation,Kristen Bell,Idina Menzel,Chris Buck,0.0,2015-03-09,short_movie,0.3336066413856718
1.661789,High-Rise,119,161,0.0,0.0,Action,Drama,Tom Hiddleston,Sienna Miller,Ben Wheatley,0.0,2015-09-26,long_movie,0.08357076970380241
1.65107799999999,The Boy Next Door,91,810,3679998.38080071,46150034.4539848,Thriller,,Jennifer Lopez,Ryan Guzman,Rob Cohen,42470036.07318409,2015-01-23,short_movie,0.31977042123603566
1.646664,Spooks: The Greater Good,104,114,0.0,0.0,Thriller,Action,Peter Firth,Kit Harington,Bharat Nalluri,0.0,2015-04-11,long_movie,0.05969047863072666
1.532997,Entourage,104,364,27599987.8560053,45322311.7381828,Comedy,,Jeremy Piven,Adrian Grenier,Doug Ellin,17722323.8821775,2015-06-03,long_movie,0.22494619247719586
1.510096,The Wedding Ringer,101,446,21159990.689604,73415857.2970227,Comedy,,Kevin Hart,Josh Gad,Jeremy Garelick,52255866.6074187,2015-01-16,long_movie,0.2904581326227324
1.499614,Scouts Guide to the Zombie Apocalypse,93,288,13799993.9280026,13671898.7043645,Comedy,Horror,Tye Sheridan,Logan Miller,Christopher B. Landon,-128095.22363810055,2015-10-23,short_movie,0.17665265962898433
1.495112,The Visit,94,729,4599997.97600089,90574017.1874324,Horror,Thriller,Olivia DeJonge,Ed Oxenbould,M. Night Shyamalan,85974019.2114315,2015-09-10,short_movie,0.4347750333094189
1.48324599999999,Black Mass,122,848,48759978.5456094,91793583.3708233,Crime,Drama,Johnny Depp,Joel Edgerton,Scott Cooper,43033604.825213894,2015-09-04,long_movie,0.541088449318438
1.449072,Heist,93,233,8187996.39728158,46125.0997049561,Crime,Action,Jeffrey Dean Morgan,Robert De Niro,Scott Mann,-8141871.297576624,2015-11-13,short_movie,0.12341908373475453
1.448002,Krampus,98,342,13799993.9280026,56624785.5250943,Horror,Comedy,Adam Scott,Toni Collette,Michael Dougherty,42824791.597091705,2015-11-26,short_movie,0.20075842984523934
1.443406,Dark Places,113,322,18399991.9040035,191900.875563614,Drama,Mystery,Charlize Theron,Nicholas Hoult,Gilles Paquet-Brenner,-18208091.028439887,2015-03-31,long_movie,0.18226914010454034
1.41239,No Escape,103,519,4599997.97600089,50065340.2112503,Action,Thriller,Owen Wilson,Lake Bell,John Erick Dowdle,45465342.23524941,2015-08-26,long_movie,0.34952341908373474
1.40805,Dope,103,448,643999.716640124,16547831.2389542,Crime,Drama,Shameik Moore,Kiersey Clemons,Rick Famuyiwa,15903831.522314075,2015-06-19,long_movie,0.3277031874551604
1.388251,American Ultra,96,695,25759988.6656049,25951426.7813722,Comedy,Action,Jesse Eisenberg,Kristen Stewart,Nima Nourizadeh,191438.11576730013,2015-08-19,short_movie,0.4142154350722559
1.388032,Woman in Gold,120,277,10119995.5472019,56690166.2163268,Drama,,Helen Mirren,Ryan Reynolds,Simon Curtis,46570170.6691249,2015-04-10,long_movie,0.19976427180485806
1.38032,The Scorpion King: The Lost Throne,105,22,0.0,0.0,Action,Fantasy,Victor Webster,Ellen Hollman,Mike Elliott,0.0,2015-01-09,long_movie,0.005534488059854464
1.376605,Sisters,118,399,27599987.8560053,96610126.2515444,Comedy,,Tina Fey,Amy Poehler,Jason Moore,69010138.3955391,2015-12-18,long_movie,0.2352259915957774
1.360926,Project Almanac,106,637,11039995.1424021,29668368.6659177,Science Fiction,Thriller,Jonny Weston,Virginia Gardner,Dean Israelite,18628373.523515597,2015-01-30,long_movie,0.4048478015783539
1.360827,Absolutely Anything,85,199,0.0,4774472.21923222,Comedy,Science Fiction,Simon Pegg,Kate Beckinsale,Terry Jones,4774472.21923222,2015-06-26,short_movie,0.11235010761504562
1.355822,The Transporter Refueled,96,407,22999989.8800044,66819266.9995225,Thriller,Action,Ed Skrein,Ray Stevenson,Camille Delamarre,43819277.1195181,2015-09-03,short_movie,0.2156503023470329
1.345982,Crimson Peak,119,819,50599977.7360098,68705406.0096213,Mystery,Thriller,Mia Wasikowska,Jessica Chastain,Guillermo del Toro,18105428.27361151,2015-10-13,long_movie,0.5306549144204161
1.342839,Everly,90,169,0.0,0.0,Thriller,Action,Salma Hayek,Hiroyuki Watanabe,Joe Lynch,0.0,2015-01-23,short_movie,0.08310956236548118
1.338481,Magic Mike XXL,115,501,13615994.0089626,112619962.887216,Comedy,Drama,Channing Tatum,Matt Bomer,Gregory Jacobs,99003968.8782534,2015-07-01,long_movie,0.3170339243619965
1.338322,Paranormal Activity: The Ghost Dimension,88,267,9199995.95200178,71851557.1453148,Horror,Thriller,Chris J. Murray,Brit Shaw,Gregory Plotkin,62651561.19331302,2015-10-21,short_movie,0.13170031772061083
1.329702,Slow West,84,229,0.0,210766.387262789,Romance,Thriller,Michael Fassbender,Kodi Smit-McPhee,John Maclean,210766.387262789,2015-04-16,short_movie,0.14813979706877115
1.316239,Trumbo,124,273,13799993.9280026,7576804.78620589,Drama,,Bryan Cranston,Diane Lane,Jay Roach,-6223189.14179671,2015-10-27,long_movie,0.1940760479655632
1.315266,Secret in Their Eyes,111,202,17939992.1064034,29614535.8096042,Crime,Drama,Chiwetel Ejiofor,Nicole Kidman,Billy Ray,11674543.703200802,2015-10-14,long_movie,0.12200471456390284
1.29314,Mistress America,84,132,0.0,2300395.50782597,Comedy,,Greta Gerwig,Lola Kirke,Noah Baumbach,2300395.50782597,2015-08-14,short_movie,0.08002459772471048
1.291013,The SpongeBob Movie: Sponge Out of Water,93,533,68079970.0448131,286666383.306791,Family,Animation,Tom Kenny,Bill Fagerbakke,Paul Tibbitt,218586413.2619779,2015-02-05,short_movie,0.30553448805985445
1.284541,True Story,100,354,0.0,4342117.4894683,Crime,Drama,Jonah Hill,James Franco,Rupert Goold,4342117.4894683,2015-04-17,long_movie,0.21154043250999283
1.278928,Max,111,214,18399991.9040035,40449856.802063,Adventure,Drama,Thomas Haden Church,Josh Wiggins,Boaz Yakin,22049864.898059502,2015-06-26,long_movie,0.1463564620272625
1.25358,Shaun the Sheep Movie,85,340,0.0,54923975.8334506,Family,Animation,Justin Fletcher,Omid Djalili,Mark Burton,54923975.8334506,2015-02-05,short_movie,0.23337091319052988
1.251681,Louder Than Bombs,109,43,10119995.5472019,0.0,Drama,,Gabriel Byrne,Isabelle Huppert,Joachim Trier,-10119995.5472019,2015-05-18,long_movie,0.021307779030439684
1.245224,A Perfect Day,106,102,0.0,1566237.67085542,Comedy,Drama,Olga Kurylenko,Benicio del Toro,Fernando LeÃ³n de Aranoa,1566237.67085542,2015-08-28,long_movie,0.05940350517577124
1.225325,The Gunman,115,283,36799983.8080071,9811564.7629115,Action,Drama,Sean Penn,Jasmine Trinca,Pierre Morel,-26988419.0450956,2015-02-16,long_movie,0.15668750640565746
1.191138,Unfriended,82,643,919999.595200178,57851497.3453411,Horror,Thriller,Shelley Hennig,Moses Jacob Storm,Levan Gabriadze,56931497.75014092,2015-04-17,short_movie,0.3633083939735574
1.178831,Hot Pursuit,87,472,32199985.8320062,47545763.9998638,Action,Crime,Reese Witherspoon,SofÃ­a Vergara,Anne Fletcher,15345778.167857602,2015-05-08,short_movie,0.26042841037204056
1.164724,Insidious: Chapter 3,97,610,9199995.95200178,95959500.6978197,Drama,Horror,Dermot Mulroney,Stefanie Scott,Leigh Whannell,86759504.74581791,2015-06-04,short_movie,0.38741416418981245
1.161812,Z for Zachariah,97,181,0.0,109004.312038102,Drama,Science Fiction,Margot Robbie,Chiwetel Ejiofor,Craig Zobel,109004.312038102,2015-08-13,short_movie,0.09639233370913192
1.144808,Dragonheart 3: The Sorcerer's Curse,97,59,0.0,0.0,Action,Adventure,Julian Morris,Tamzin Merchant,Colin Teague,0.0,2015-02-24,short_movie,0.02259915957773906
1.142518,The Lady in the Van,104,135,5519997.57120106,38076655.2862716,Comedy,Drama,Maggie Smith,Alex Jennings,Nicholas Hytner,32556657.715070542,2015-11-13,long_movie,0.0755867582248642
1.138395,Victor Frankenstein,109,408,36799983.8080071,31489100.3047958,Drama,Science Fiction,James McAvoy,Daniel Radcliffe,Paul McGuigan,-5310883.503211297,2015-11-10,long_movie,0.22435174746335965
1.128081,Brothers of the Wind,98,11,0.0,0.0,Adventure,Drama,Manuel Camacho,Jean Reno,Gerado Olivares,0.0,2015-12-24,short_movie,0.0007686788972020088
1.125239,Anomalisa,90,259,7359996.76160142,3458541.59824169,Animation,Comedy,Jennifer Jason Leigh,David Thewlis,Duke Johnson,-3901455.16335973,2015-12-30,short_movie,0.17098493389361483
